Contents,Province,Date,Users,like_counts
12306多少有些不作为，也许可以增加一项功能：被迫买长途的旅客可以在平台上售卖释放不乘坐的路段，一旦有需求的旅客购买即可完成交易，这样需求得到满足资源得到利用。,浙江 杭州,Mon Apr 22 19:59:39  2024,Jason_QF,0
要不，让吐槽的人来设计怎么出票？,浙江 杭州,Mon Apr 22 19:59:08  2024,了十四,0
就是强迫！中途的根本就没放票！！,广东 深圳,Mon Apr 22 19:58:04  2024,我叫张星辰,0
一系统花这么多钱，这点算力没有。,海外 沙特阿拉伯,Mon Apr 22 19:55:04  2024,既舍又予,0
难道这么质疑有错吗[微笑],其他,Mon Apr 22 19:54:33  2024,1011Morning,0
国铁为了抢钱也是无止境了，连调图的时刻表也成jm，不如变成jm部门算了,广东,Mon Apr 22 19:51:00  2024,香港铁路迷-GraceYing,0
[doge]狗东更厉害！双十一正常购物被京东无理由限制下单，拒绝退还未使用PLUS会员费、红包、金贴！没有契约精神！投诉无门！,北京 东城区,Mon Apr 22 19:50:20  2024,黄油球的微博,0
郑州那么多车次，照样买不到票，因为很多过路车。这几年买票尤其费劲,北京 海淀区,Mon Apr 22 19:46:48  2024,catly1010,1
我能理解优先长途，但是都好几天了？长途有需求的也该买完了吧，剩下的不放出来留着干嘛？15 天提前购票，前 5 天优先长途，后 10 天就全放开呗。,其他,Mon Apr 22 19:39:11  2024,白山绿水玄菟郡,1
经常多买200-300公里，都夸省了，才有票[裂开][裂开][裂开],其他,Mon Apr 22 19:27:19  2024,W4--30个字符,0
这个需要算法搞个智能列车排期决策支持系统。根据预售票量以及列车的本量利模型决定是否需要加开某一区间临时列车。[微笑],北京 崇文区,Mon Apr 22 19:24:46  2024,kevinliukai,0
韭菜不管在哪里都是被收割,其他,Mon Apr 22 19:15:25  2024,啊sir你有冇搞错,0
也就上上热搜，没有实际意义，预约了还是会到候补，候补了还是会到买不到票,其他,Mon Apr 22 19:13:58  2024,飞202301,0
肯定是优先长途啊,其他,Mon Apr 22 19:10:01  2024,落花最易惹闲愁,0
高铁肯定盈利 你们没有算过一趟车票钱 他们净收入,浙江 杭州,Mon Apr 22 19:10:01  2024,ICY楠楠,0
大哥了！这么基本常识的事儿都要打客服 我打半天一直坐席忙 感情就你一直在浪费资源啊,北京,Mon Apr 22 19:09:22  2024,郝仁不是人,0
就应该优先长途啊 我回家的票一天只有两趟车  中转的车有一大堆    大家都跟我抢这两趟车的半途票请问有长途需求的人怎么回家啊？,河北,Mon Apr 22 19:08:33  2024,对啊我是黄懵圈,0
买票不是就一个先来后到嘛 买长乘短 长的子自己没用， 短乘的又买不到。,浙江 杭州,Mon Apr 22 19:07:39  2024,ICY楠楠,0
以后不能“买长乘短”，只能到固定的站点下车，买长了的，就再买票返回，或乘坐别的交通工具返回，怎么样？[允悲],广东 广州,Mon Apr 22 19:03:45  2024,平民根,0
说得对，以后卖票强制一个区间一个区间地卖，去A地经过五个站那就买五次，每站下车换座[喵喵],云南,Mon Apr 22 18:57:35  2024,linkaaaaaaaa,0
深井冰,四川 成都,Mon Apr 22 18:56:43  2024,Vionstri,0
一群憨批，真以为调度算法那么好写，说改就能改？,山西,Mon Apr 22 18:56:12  2024,AboArthur,0
买多了路程，上车后可以退到相应路程吗,江苏 常州,Mon Apr 22 18:56:11  2024,惠HF,0
就是吃相难看！完全可以出一个长改短的功能，退差价，这样另一段不就可以卖给需要的人，高峰期都是满运力好吧！,上海,Mon Apr 22 18:55:40  2024,番茄酱炒西红柿鸡蛋,0
如果短途票容易买，谁愿意多掏钱买长乘短,云南 昆明,Mon Apr 22 18:53:41  2024,莫莫上翠微,0
过年也是，七个小时的火车票抢了几天都没抢到，后来买的始发站买到了，就奇怪那么多天就少了2站就不行，为啥多买就可以？？[摊手]一个人这样，全国那么多人口收益得多少,江苏 常州,Mon Apr 22 18:53:30  2024,Miss_Shelly,1
12306回应有用那要铁道部干嘛[允悲],浙江 宁波,Mon Apr 22 18:52:41  2024,伊晓暮,0
垄断就是话语权,河北 保定,Mon Apr 22 18:52:28  2024,北祖村店,0
过年就发现了，本来只有3站的距离，结果买票至少要选全程的四分之三才显示有票[裂开],上海,Mon Apr 22 18:51:12  2024,茱萸_csy,0
过年回家都是买长乘短,北京 朝阳区,Mon Apr 22 18:50:56  2024,nannan_08,0
虽说人人都是自私的，但发这种东西的人可是自私中的战斗机了……,其他,Mon Apr 22 18:50:34  2024,窗外的风SSR,0
质疑的人是脑袋秀逗了吗？,其他,Mon Apr 22 18:49:39  2024,爆棚的运气一直停不下来,0
为人民服务，就这？,北京,Mon Apr 22 18:49:12  2024,中华环保少男,0
受制于客运调度和系统算法[doge]唯一的售票渠道，多人提交了候补需求，提前周期售票，还能不知道某个时间节点内短途需求多过长途？收益最大化罢了。,广东 广州,Mon Apr 22 18:48:42  2024,米斯特·歪,0
广州到上饶，全程6小时，二等座569元，我买到萍乡，三个半小时，360元，无票。买全程票，有票，往前买一站无票。从去年过年开始，每次节假日回家，我得多花400元才能不需要抢票，随便买，这就是400块的用处，也不知道该高兴还是不高兴[允悲],广东,Mon Apr 22 18:48:22  2024,岁啼春晓199704,0
建议不坐车，生气抵制，不坐就解决问题了。,山东 临沂,Mon Apr 22 18:47:46  2024,SStarLord,0
就没有人出来管管这12306吗？,广东 深圳,Mon Apr 22 18:47:44  2024,Eric_7673,0
学生票永远买不到票 还要从始发站买或者到达终点站，多花很多钱，学生党[泪][泪],黑龙江,Mon Apr 22 18:47:37  2024,DALX独爱现,0
每次都只能直接买全程，多花快一半的钱🗡️,青海,Mon Apr 22 18:47:10  2024,沐光夕维,0
那买长了早下怎么不见退钱？买短了就要补,陕西 渭南,Mon Apr 22 18:45:49  2024,学渣Esther一颗星,0
今年买票好像很困难[苦涩],浙江,Mon Apr 22 18:44:46  2024,废柴的滕,0
为了顺利出行被迫多支付费用。[怒],重庆,Mon Apr 22 18:44:27  2024,明亮却不刺眼的女孩,0
最后的结果就是资源利用率上没上去不知道，铁路是赢麻了,四川 成都,Mon Apr 22 18:44:07  2024,Mr丶fox,0
不要脸，我买了双程往返的，平时1000，这次花了1800.没有办法要回家，只有长途的买，几乎买了整个车程。,湖南,Mon Apr 22 18:44:01  2024,coco-sw,0
对，我被迫买长乘短，安慰自己就当类似机票的节日溢价,上海 杨浦区,Mon Apr 22 18:42:06  2024,理理小罴仔,0
疫情之前的票还是挺好买的，现在都看不到票[汗],海外 丹麦,Mon Apr 22 18:41:57  2024,F心里的样子,0
该整治了，每次买票都要多加钱,广西 桂林,Mon Apr 22 18:41:47  2024,Zz时好,0
一个同事 年后买短无票 为了上班报道不迟到 买长 还是商务座 多花了八百多[笑cry][笑cry][笑cry],江苏 南京,Mon Apr 22 18:40:40  2024,绯色Simon-V,3
理解 事多的死一死,上海 徐汇区,Mon Apr 22 18:40:40  2024,可乐可乐可乐乐1,0
这个根本没多难，只不过可以多赚点是好事,香港 其他,Mon Apr 22 18:40:35  2024,专业沙雕评论,0
打开软件只有一个买短乘长的票，没得选的我多买了十站付了双倍的价钱才能回成家[苦涩],辽宁 沈阳,Mon Apr 22 18:40:33  2024,_我歌尔其聆,0
我早就发现了[微笑][微笑][微笑][微笑]真的无语 中途有票 但就是买不到[微笑][微笑][微笑]非得我多买一程才有票[微笑][微笑][微笑][微笑][微笑][微笑][微笑]去死[吐],重庆,Mon Apr 22 18:40:16  2024,我为什么还在吃呢,0
怎么好意思说出来，要点脸呢？而且短途的人不活了么，走路回家？！,其他,Mon Apr 22 18:39:20  2024,missZ鲤川,0
我从苏州回北京没票了，买到了上海到北京的，多买了一站，我也够长途了吧[泪],河北 保定,Mon Apr 22 18:39:01  2024,卡卡罗裤,0
建议追责相关人员,其他,Mon Apr 22 18:38:32  2024,你是我的宝84835,0
12306真的无语，搜短程票没有只有全程票[微笑]，我真的谢谢了，所以是要强制我们买全程票吗？上学本来就闹心，我真的想口吐芬芳[微笑],河南,Mon Apr 22 18:38:12  2024,嘟嘟爱爬墙,0
坚决抵制,其他,Mon Apr 22 18:37:53  2024,你是我的宝84835,0
多赚钱还省事,上海 浦东新区,Mon Apr 22 18:37:48  2024,那个菁菁吧,0
去他妈的12306,福建,Mon Apr 22 18:37:27  2024,cyzero,0
票越来越难刷[挖鼻],北京 崇文区,Mon Apr 22 18:37:15  2024,yeol6v,0
买长乘短总比买短乘长好一点，至少不会导致高铁超载运行不了。,广东 深圳,Mon Apr 22 18:37:03  2024,不换名字不洋气,0
算法限制？找几个靠谱程序员吧[喵喵],其他,Mon Apr 22 18:35:45  2024,AYEAUTUMN6789,0
就是这么垃圾[笑哈哈],广东,Mon Apr 22 18:35:07  2024,_咸鱼哥哥Q,0
每年五一都回家，今年第一次没买到票,山东 济南,Mon Apr 22 18:34:26  2024,墙角de粉红猫,0
我们总买北京始发的[笑cry]。,天津 南开区,Mon Apr 22 18:34:05  2024,我爱大亭,0
那不然嘞？人家长途的买不到逼着去拼两三段短途嘛？什么精致的理解主义者！这也报道，真是没底线的媒体[吐][吐][吐],海外 美国,Mon Apr 22 18:33:38  2024,大钱钱钱钱钱钱君,0
说啥都是被迫买长乘短,黑龙江 齐齐哈尔,Mon Apr 22 18:33:27  2024,Circleyuan圆,0
学学外国，逃票罚死,山东 济南,Mon Apr 22 18:33:24  2024,鸣鸿·霨翛,0
什么叫纵容？能买到正好区间的谁会多买,天津 和平区,Mon Apr 22 18:32:47  2024,二凛4,0
应该长途优先的，优先短途会造成更大的运力浪费。这站乘客下车，不一定会有新的乘客上车,北京,Mon Apr 22 18:31:03  2024,貂儿民,1
意思就是你可以买贵的，那不就是以前的黄牛票么[doge][doge][doge],上海,Mon Apr 22 18:30:55  2024,倾听-圭kyu,0
